Sending Timestamps,Receiving Timestamps,Message Direction,Operator ID,Self-Match Prevention ID,Account Number,Session ID,Executing Firm ID,Manual Order Identifier,Message Type,Customer Type Indicator,Origin,CME Globex Message ID,Message Link ID,Order Flow ID,Spread/Leg Link ID,Instrument Description,Market Segment ID,Client Order ID,CME Globex Order ID,Buy/Sell Indicator,Quantity,Limit Price,Stop Price,Order Type,Order Qualifier,IFM Flag,Display Quantity,Minimum Quantity,Country of Origin,Fill Price,Fill Quantity,Cumulative Quantity,Remaining Quantity,Aggressor Flag,Source of Cancellation,Reject Reason,Processed Quotes,Cross ID,Quote Request ID,Message Quote ID,Quote Entry ID,Bid Price,Bid Size,Offer Price,Offer Size
20180123-14:48:49.036,,TO CME,Falcon001,,ABC,P75,004,Y,D,1,1,,,201801230003,,ESH8,G,201801230003,,1,2000,278500,,2,0,,2000,,CN,,,,,,,,,,,,,,,,
,20180123-14:48:49.224,FROM CME,FALCON001,,ABC,P75,004,Y,8/0,,,64386:841880,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,2000,,,,,0,2000,,,,,,,,,,,,
,20180123-14:48:49.225,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211110TN0041855,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,1,1999,Y,,,,,,,,,,,
,20180123-14:48:49.225,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211112TN0041856,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,3,4,1996,Y,,,,,,,,,,,
,20180123-14:48:49.226,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211114TN0041857,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,5,9,1991,Y,,,,,,,,,,,
,20180123-14:48:49.226,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211116TN0041858,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,10,1990,Y,,,,,,,,,,,
,20180123-14:48:49.226,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211118TN0041859,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,11,1989,Y,,,,,,,,,,,
,20180123-14:48:49.229,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211120TN0041860,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,5,16,1984,Y,,,,,,,,,,,
,20180123-14:48:49.229,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211122TN0041861,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,17,1983,Y,,,,,,,,,,,
,20180123-14:48:49.230,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211124TN0041862,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,18,1982,Y,,,,,,,,,,,
,20180123-14:48:49.230,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211126TN0041863,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,19,1981,Y,,,,,,,,,,,
,20180123-14:48:49.230,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211128TN0041864,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,20,1980,Y,,,,,,,,,,,
,20180123-14:48:49.230,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211130TN0041865,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,2,22,1978,Y,,,,,,,,,,,
,20180123-14:48:49.230,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211132TN0041866,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,23,1977,Y,,,,,,,,,,,
,20180123-14:48:49.230,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211134TN0041867,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,24,1976,Y,,,,,,,,,,,
,20180123-14:48:49.231,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211136TN0041868,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,2,26,1974,Y,,,,,,,,,,,
,20180123-14:48:49.231,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211138TN0041869,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,27,1973,Y,,,,,,,,,,,
,20180123-14:48:49.231,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211140TN0041870,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,28,1972,Y,,,,,,,,,,,
,20180123-14:48:49.231,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211142TN0041871,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,3,31,1969,Y,,,,,,,,,,,
,20180123-14:48:49.231,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211144TN0041872,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,2,33,1967,Y,,,,,,,,,,,
,20180123-14:48:49.231,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211146TN0041873,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,34,1966,Y,,,,,,,,,,,
,20180123-14:48:49.409,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211148TN0041874,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,35,1965,Y,,,,,,,,,,,
,20180123-14:48:49.409,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211150TN0041875,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,36,1964,Y,,,,,,,,,,,
,20180123-14:48:49.409,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211152TN0041876,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,37,1963,Y,,,,,,,,,,,
,20180123-14:48:49.964,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211154TN0041877,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,7,44,1956,N,,,,,,,,,,,
,20180123-14:48:50.763,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211156TN0041878,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,45,1955,N,,,,,,,,,,,
,20180123-14:48:50.964,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211158TN0041879,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,46,1954,N,,,,,,,,,,,
,20180123-14:48:51.164,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211160TN0041880,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,8,54,1946,N,,,,,,,,,,,
,20180123-14:48:52.764,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211162TN0041881,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,55,1945,N,,,,,,,,,,,
,20180123-14:48:54.767,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211164TN0041882,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,56,1944,N,,,,,,,,,,,
,20180123-14:48:55.368,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211166TN0041883,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,6,62,1938,N,,,,,,,,,,,
,20180123-14:48:55.766,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211168TN0041884,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,2,64,1936,N,,,,,,,,,,,
,20180123-14:48:55.964,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211170TN0041885,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,2,66,1934,N,,,,,,,,,,,
,20180123-14:48:56.366,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211172TN0041886,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,6,72,1928,N,,,,,,,,,,,
,20180123-14:48:59.566,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211174TN0041887,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,4,76,1924,N,,,,,,,,,,,
,20180123-14:49:00.964,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211176TN0041888,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,6,82,1918,N,,,,,,,,,,,
,20180123-14:49:01.163,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211178TN0041889,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,5,87,1913,N,,,,,,,,,,,
,20180123-14:49:01.364,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211180TN0041890,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,88,1912,N,,,,,,,,,,,
,20180123-14:49:01.764,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211182TN0041891,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,89,1911,N,,,,,,,,,,,
,20180123-14:49:01.968,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211184TN0041892,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,2,91,1909,N,,,,,,,,,,,
,20180123-14:49:02.568,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211186TN0041893,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,3,94,1906,N,,,,,,,,,,,
,20180123-14:49:02.767,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211188TN0041894,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,6,100,1900,N,,,,,,,,,,,
,20180123-14:49:03.565,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211190TN0041895,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,6,106,1894,N,,,,,,,,,,,
,20180123-14:49:03.764,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211192TN0041896,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,3,109,1891,N,,,,,,,,,,,
,20180123-14:49:03.964,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211194TN0041897,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,6,115,1885,N,,,,,,,,,,,
,20180123-14:49:04.164,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211196TN0041898,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,6,121,1879,N,,,,,,,,,,,
,20180123-14:49:04.368,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211198TN0041899,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,12,133,1867,N,,,,,,,,,,,
,20180123-14:49:05.367,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211200TN0041900,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,8,141,1859,N,,,,,,,,,,,
,20180123-14:49:05.564,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211202TN0041901,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,5,146,1854,N,,,,,,,,,,,
,20180123-14:49:05.767,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211204TN0041902,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,5,151,1849,N,,,,,,,,,,,
,20180123-14:49:06.764,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211206TN0041903,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,152,1848,N,,,,,,,,,,,
,20180123-14:49:06.964,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211208TN0041904,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,2,154,1846,N,,,,,,,,,,,
,20180123-14:49:07.165,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211210TN0041905,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,6,160,1840,N,,,,,,,,,,,
,20180123-14:49:07.364,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211212TN0041906,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,3,163,1837,N,,,,,,,,,,,
,20180123-14:49:07.564,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211214TN0041907,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,2,165,1835,N,,,,,,,,,,,
,20180123-14:49:09.564,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211216TN0041908,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,166,1834,N,,,,,,,,,,,
,20180123-14:49:10.568,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211218TN0041909,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,167,1833,N,,,,,,,,,,,
,20180123-14:49:10.763,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211220TN0041910,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,168,1832,N,,,,,,,,,,,
,20180123-14:49:11.568,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211222TN0041911,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,169,1831,N,,,,,,,,,,,
,20180123-14:49:11.763,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211224TN0041912,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,6,175,1825,N,,,,,,,,,,,
,20180123-14:49:12.164,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211226TN0041913,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,9,184,1816,N,,,,,,,,,,,
,20180123-14:49:12.364,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211228TN0041914,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,185,1815,N,,,,,,,,,,,
,20180123-14:49:12.567,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211230TN0041915,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,9,194,1806,N,,,,,,,,,,,
,20180123-14:49:14.364,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211232TN0041916,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,32,226,1774,N,,,,,,,,,,,
,20180123-14:49:16.764,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211234TN0041917,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,6,232,1768,N,,,,,,,,,,,
,20180123-14:49:21.769,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211238TN0041919,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,233,1767,N,,,,,,,,,,,
,20180123-14:49:25.568,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211240TN0041920,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,6,239,1761,N,,,,,,,,,,,
,20180123-14:49:25.764,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211242TN0041921,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,2,241,1759,N,,,,,,,,,,,
,20180123-14:49:25.969,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211244TN0041922,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,2,243,1757,N,,,,,,,,,,,
,20180123-14:49:26.968,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211246TN0041923,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,244,1756,N,,,,,,,,,,,
,20180123-14:49:27.167,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211248TN0041924,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,245,1755,N,,,,,,,,,,,
,20180123-14:49:27.564,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211250TN0041925,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,3,248,1752,N,,,,,,,,,,,
,20180123-14:49:27.767,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211252TN0041926,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,249,1751,N,,,,,,,,,,,
